iter	Passed	Remaining
0	1	104
1	1	85
2	2	78
3	2	70
4	3	68
5	4	66
6	4	65
7	5	63
8	6	62
9	6	61
10	7	60
11	8	60
12	8	59
13	9	58
14	10	58
15	11	58
16	11	57
17	12	57
18	13	57
19	14	56
20	15	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	68	0
