iter	Passed	Remaining
0	1	1058
1	1	987
2	2	982
3	4	1001
4	5	1015
5	5	984
6	6	970
7	7	957
8	8	949
9	9	944
10	10	943
11	11	941
12	12	933
13	13	939
14	14	927
15	14	919
16	15	916
17	17	937
18	18	939
19	19	939
20	20	937
21	21	936
22	22	939
23	23	940
24	24	939
25	25	945
26	26	943
27	27	941
28	27	935
29	28	935
30	29	936
31	30	935
32	31	928
33	32	929
34	33	929
35	34	930
36	35	927
37	36	922
38	37	917
39	38	915
40	39	914
41	40	918
42	41	915
43	41	911
44	42	907
45	43	911
46	44	910
47	45	910
48	46	906
49	47	904
50	48	904
51	49	905
52	50	908
53	51	904
54	52	899
55	53	894
56	53	889
57	54	884
58	55	879
59	55	874
60	56	871
61	57	871
62	58	869
63	59	868
64	60	867
65	61	864
66	61	861
67	62	858
68	63	853
69	63	849
70	64	846
71	65	841
72	65	838
73	66	834
74	67	830
75	68	827
76	68	823
77	69	820
78	70	817
79	70	814
80	71	812
81	72	810
82	72	804
83	73	801
84	74	799
85	75	797
86	75	795
87	76	792
88	77	790
89	77	787
90	78	785
91	79	782
92	79	779
93	80	776
94	81	774
95	81	772
96	82	769
97	83	767
98	84	765
99	84	763
100	85	763
101	86	762
102	87	761
103	88	760
104	89	759
105	89	758
106	90	756
107	91	754
108	92	752
109	92	751
110	93	749
111	94	747
112	95	746
113	95	744
114	96	742
115	97	740
116	97	737
117	98	735
118	99	734
119	100	734
120	101	734
121	101	732
122	102	732
123	103	731
124	104	730
125	105	729
126	105	727
127	106	725
128	107	724
129	108	722
130	108	721
131	109	719
132	110	717
133	110	716
134	111	714
135	112	712
136	112	711
137	113	711
138	114	710
139	115	708
140	116	707
141	116	704
142	117	702
143	117	700
144	118	698
145	119	697
146	119	695
147	120	694
148	121	693
149	122	691
150	122	690
151	123	688
152	124	687
153	124	685
154	125	684
155	126	682
156	126	681
157	127	681
158	128	680
159	129	679
160	129	676
161	130	675
162	131	673
163	131	672
164	132	671
165	133	670
166	134	669
167	134	668
168	135	667
169	136	666
170	137	664
171	137	663
172	138	662
173	139	660
174	139	659
175	140	658
176	142	660
177	142	659
178	143	658
179	144	657
180	145	656
181	145	655
182	146	653
183	147	652
184	147	651
185	148	650
186	149	648
187	149	647
188	150	646
189	151	645
190	152	644
191	152	642
192	153	641
193	154	640
194	154	639
195	155	639
196	156	638
197	157	637
198	158	636
199	158	635
200	159	634
201	160	633
202	160	632
203	161	630
204	162	631
205	163	630
206	164	629
207	164	628
208	165	627
209	166	626
210	167	625
211	167	623
212	168	623
213	170	624
214	170	624
215	171	623
216	172	622
217	173	621
218	174	620
219	174	619
220	175	618
221	176	617
222	176	616
223	177	615
224	178	613
225	178	612
226	179	611
227	180	610
228	180	609
229	181	608
230	182	607
231	183	606
232	184	606
233	185	606
234	186	605
235	186	604
236	187	603
237	188	603
238	189	602
239	189	601
240	190	599
241	191	599
242	192	598
243	193	598
244	194	598
245	195	597
246	195	596
247	196	596
248	197	595
249	198	595
250	199	594
251	200	593
252	200	592
253	201	591
254	202	590
255	202	589
256	203	588
257	204	587
258	205	586
259	206	586
260	206	585
261	215	606
262	216	607
263	217	606
264	218	606
265	219	606
266	221	607
267	222	606
268	223	606
269	224	606
270	225	606
271	226	607
272	227	606
273	229	609
274	231	609
275	232	609
276	233	608
277	234	607
278	235	607
279	236	607
280	237	606
281	238	606
282	239	606
283	240	605
284	241	604
285	241	603
286	242	602
287	243	601
288	244	601
289	245	601
290	246	600
291	247	599
292	248	599
293	249	598
294	250	597
295	250	596
296	251	596
297	252	595
298	253	595
299	254	594
300	255	594
301	257	594
302	258	594
303	259	593
304	260	592
305	261	592
306	261	591
307	262	590
308	263	589
309	264	588
310	265	587
311	266	587
312	267	587
313	268	586
314	269	586
315	270	585
316	271	585
317	272	584
318	273	584
319	274	583
320	282	596
321	283	597
322	285	597
323	286	597
324	287	597
325	288	596
326	289	595
327	290	595
328	291	594
329	293	594
330	294	594
331	296	596
332	297	595
333	298	595
334	301	598
335	302	597
336	303	597
337	304	596
338	305	595
339	306	594
340	307	593
341	309	595
342	310	594
343	311	593
344	312	592
345	313	592
346	314	591
347	315	590
348	316	590
349	317	589
350	317	587
351	318	586
352	319	586
353	320	585
354	321	584
355	322	584
356	323	582
357	324	581
358	325	580
359	326	579
360	327	579
361	328	579
362	329	578
363	330	578
364	332	577
365	333	577
366	334	577
367	335	576
368	336	576
369	337	575
370	338	574
371	339	573
372	340	572
373	341	570
374	341	569
375	342	568
376	343	567
377	344	566
378	344	565
379	345	563
380	346	562
381	347	561
382	347	560
383	348	559
384	349	558
385	350	556
386	350	555
387	351	554
388	352	553
389	353	552
390	354	551
391	355	551
392	356	551
393	358	550
394	359	550
395	360	549
396	360	548
397	361	547
398	362	546
399	364	546
400	365	545
401	366	544
402	366	543
403	367	542
404	368	541
405	368	539
406	369	538
407	370	537
408	370	535
409	371	534
410	372	533
411	373	532
412	374	531
413	374	530
414	375	529
415	376	528
416	377	527
417	378	526
418	378	525
419	379	524
420	380	523
421	380	521
422	381	520
423	382	519
424	383	518
425	383	517
426	384	515
427	385	514
428	385	513
429	386	512
430	387	511
431	388	510
432	389	509
433	390	508
434	390	507
435	391	506
436	392	505
437	393	504
438	393	503
439	394	501
440	394	500
441	395	499
442	396	498
443	397	497
444	398	496
445	399	495
446	400	494
447	400	494
448	401	492
449	402	491
450	403	490
451	403	489
452	404	488
453	405	487
454	405	486
455	406	484
456	407	483
457	407	482
458	408	481
459	409	480
460	409	479
461	410	478
462	411	477
463	412	476
